"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2025","38.03","38.08","38.50","38.00","61.84K","-1.07%"
"10/06/2025","38.44","38.51","38.64","38.32","77.21K","-1.08%"
"10/03/2025","38.86","39.00","39.35","38.81","50.27K","-1.12%"
"10/02/2025","39.30","39.49","39.49","39.04","51.67K","0.56%"
"10/01/2025","39.08","39.23","39.31","38.88","77.75K","0.03%"
"09/30/2025","39.07","38.93","39.08","38.66","96.88K","0.70%"
"09/29/2025","38.80","39.20","39.20","38.59","218.13K","0.08%"
"09/26/2025","38.77","38.50","38.77","38.44","117.05K","0.00%"
"09/25/2025","38.77","38.72","39.01","38.63","106.23K","-0.29%"
"09/24/2025","38.88","38.83","39.06","38.76","60.21K","0.38%"
"09/23/2025","38.74","38.71","38.92","38.35","96.61K","0.88%"
"09/22/2025","38.40","38.16","38.52","38.16","97.72K","-0.42%"
"09/19/2025","38.56","38.81","38.81","38.42","77.87K","-0.05%"
"09/18/2025","38.58","38.77","39.35","38.57","86.40K","-1.03%"
"09/17/2025","38.98","38.83","39.35","38.83","49.00K","0.41%"
"09/16/2025","38.82","38.98","39.06","38.68","76.95K","-0.44%"
"09/15/2025","38.99","39.81","39.81","38.69","255.08K","0.28%"
"09/12/2025","38.88","38.83","38.89","38.59","79.08K","-0.54%"
"09/11/2025","39.09","39.27","39.31","38.97","77.06K","-0.46%"
"09/10/2025","39.27","39.05","39.47","39.05","46.57K","0.09%"
"09/09/2025","39.24","39.44","39.85","39.15","75.35K","-0.80%"
"09/08/2025","39.55","39.04","39.58","39.04","201.68K","0.84%"
"09/05/2025","39.22","38.99","39.41","38.99","85.22K","0.10%"
"09/04/2025","39.18","39.04","39.20","39.00","71.30K","0.54%"
"09/03/2025","38.97","39.10","39.10","38.63","186.72K","-1.32%"
"09/02/2025","39.49","39.50","39.63","39.28","93.65K","-2.19%"
"08/29/2025","40.37","40.40","40.65","40.18","94.41K","-1.02%"
"08/28/2025","40.79","40.81","40.83","40.46","97.77K","1.44%"
"08/27/2025","40.21","40.08","40.28","39.83","67.63K","-0.47%"
"08/26/2025","40.40","41.19","41.19","40.18","74.06K","-0.94%"
"08/25/2025","40.78","41.44","41.44","40.77","128.19K","-1.42%"
"08/22/2025","41.37","41.20","41.59","41.17","60.63K","1.10%"
"08/21/2025","40.92","41.14","41.22","40.84","78.65K","-0.80%"
"08/20/2025","41.25","40.87","41.31","40.87","69.45K","2.18%"
"08/19/2025","40.37","40.39","40.66","40.32","85.11K","0.95%"
"08/18/2025","39.99","39.92","40.14","39.90","144.94K","0.08%"
"08/15/2025","39.96","39.97","40.08","39.77","119.95K","0.83%"
"08/14/2025","39.63","40.07","40.07","39.38","131.22K","-0.63%"
"08/13/2025","39.88","39.79","39.98","39.77","44.59K","-0.05%"
"08/12/2025","39.90","40.13","40.13","39.50","84.27K","0.78%"
"08/11/2025","39.59","39.57","39.80","39.46","102.15K","-0.67%"
"08/08/2025","39.86","40.18","40.18","39.57","90.99K","-0.34%"
"08/07/2025","39.99","39.95","40.07","39.83","93.48K","1.01%"
"08/06/2025","39.59","39.70","39.72","39.48","85.32K","0.87%"
"08/05/2025","39.25","39.55","39.75","39.24","1.23M","-0.46%"
"08/04/2025","39.43","39.50","39.58","39.19","91.83K","-0.63%"
"08/01/2025","39.68","39.70","39.79","39.38","91.33K","-0.33%"
"07/31/2025","39.81","40.05","40.98","39.81","139.92K","-4.10%"
"07/30/2025","41.51","41.69","42.31","41.35","293.71K","-0.98%"
"07/29/2025","41.92","41.23","42.32","41.11","284.30K","2.12%"
"07/28/2025","41.05","41.81","41.85","41.00","116.08K","-9.84%"
"07/25/2025","45.53","45.35","45.66","45.21","47.07K","-0.87%"
"07/24/2025","45.93","46.12","46.31","45.93","81.53K","-0.86%"
"07/23/2025","46.33","45.95","46.37","45.89","72.40K","1.47%"
"07/22/2025","45.66","45.19","45.78","45.19","1.11M","2.01%"
"07/21/2025","44.76","44.71","44.96","44.71","635.16K","0.13%"
"07/18/2025","44.70","44.97","45.16","44.66","293.58K","0.88%"
"07/17/2025","44.31","44.33","44.49","44.05","62.64K","0.66%"
"07/16/2025","44.02","43.71","44.05","43.61","57.42K","0.82%"
"07/15/2025","43.66","44.11","44.34","43.63","73.40K","-0.89%"
"07/14/2025","44.05","44.42","44.42","43.96","100.22K","-0.07%"
"07/11/2025","44.08","44.31","44.31","44.00","57.20K","-0.52%"
"07/10/2025","44.31","43.88","44.31","43.86","87.16K","0.45%"
"07/09/2025","44.11","44.32","44.32","43.79","74.96K","-0.59%"
"07/08/2025","44.37","43.84","44.47","43.78","50.86K","-0.40%"
"07/07/2025","44.55","44.89","45.03","44.32","62.05K","-1.55%"
"07/03/2025","45.25","45.16","45.45","44.99","49.95K","0.09%"
"07/02/2025","45.21","44.93","45.35","44.81","63.48K","1.10%"
"07/01/2025","44.72","44.05","44.82","43.91","124.63K","2.33%"
"06/30/2025","43.70","44.29","44.29","43.43","156.45K","1.33%"
"06/27/2025","43.13","43.51","43.51","43.05","47.55K","0.71%"
"06/26/2025","42.82","42.66","42.97","42.63","245.19K","0.80%"
"06/25/2025","42.48","43.21","43.28","42.32","190.85K","-2.79%"
"06/24/2025","43.70","44.01","44.30","43.70","287.77K","0.04%"
"06/23/2025","43.68","42.70","43.68","42.70","78.24K","1.66%"
"06/20/2025","42.97","43.65","43.65","42.83","49.61K","-0.58%"
"06/18/2025","43.22","43.74","43.74","42.95","63.61K","-0.25%"
